ent_station,ext_station,ent_time_period,riders_average_weekday
Ballston,Ballston,AM Peak,15.454545454545455
Ballston,Benning Road,AM Peak,0.45454545454545453
Ballston,Bethesda,AM Peak,33.18181818181818
Ballston,Braddock Road,AM Peak,11.590909090909092
Ballston,Branch Avenue,AM Peak,1.1818181818181819
Ballston,Brookland,AM Peak,15.590909090909092
Ballston,Capitol Heights,AM Peak,0.18181818181818182
Ballston,Capitol South,AM Peak,107.81818181818181
Ballston,Cheverly,AM Peak,1.9545454545454546
Ballston,Clarendon,AM Peak,42.13636363636363
Ballston,Cleveland Park,AM Peak,3.4545454545454546
Ballston,College Park-U of MD,AM Peak,5.2727272727272725
Ballston,Columbia Heights,AM Peak,9.0
Ballston,Congress Heights,AM Peak,0.6818181818181818
Ballston,Court House,AM Peak,76.22727272727273
Ballston,Crystal City,AM Peak,74.9090909090909
Ballston,Deanwood,AM Peak,1.4090909090909092
Ballston,Dunn Loring,AM Peak,51.13636363636363
Ballston,Dupont Circle,AM Peak,46.54545454545455
Ballston,East Falls Church,AM Peak,11.590909090909092
Ballston,Eastern Market,AM Peak,23.0
Ballston,Eisenhower Avenue,AM Peak,8.409090909090908
Ballston,Farragut North,AM Peak,2.5
Ballston,Farragut West,AM Peak,776.2727272727273
Ballston,Federal Center SW,AM Peak,86.68181818181819
Ballston,Federal Triangle,AM Peak,200.3181818181818
Ballston,Foggy Bottom,AM Peak,418.0
Ballston,Forest Glen,AM Peak,0.7727272727272727
Ballston,Fort Totten,AM Peak,3.8636363636363638
Ballston,Franconia-Springfield,AM Peak,9.227272727272727
Ballston,Friendship Heights,AM Peak,19.727272727272727
Ballston,Gallery Place-Chinatown,AM Peak,108.72727272727273
Ballston,Georgia Avenue-Petworth,AM Peak,3.6363636363636362
Ballston,Glenmont,AM Peak,2.1363636363636362
Ballston,Greenbelt,AM Peak,4.090909090909091
Ballston,Grosvenor,AM Peak,0.9090909090909091
Ballston,Huntington,AM Peak,2.4545454545454546
Ballston,Judiciary Square,AM Peak,102.31818181818181
Ballston,King Street,AM Peak,39.72727272727273
Ballston,Landover,AM Peak,1.0454545454545454
Ballston,Largo Town Center,AM Peak,1.9090909090909092
Ballston,L'Enfant Plaza,AM Peak,161.6818181818182
Ballston,McPherson Square,AM Peak,441.3636363636364
Ballston,Medical Center,AM Peak,15.681818181818182
Ballston,Metro Center,AM Peak,342.3181818181818
Ballston,Minnesota Avenue,AM Peak,2.0
Ballston,Morgan Blvd.,AM Peak,0.9545454545454546
Ballston,Mt. Vernon Square-UDC,AM Peak,8.181818181818182
Ballston,Navy Yard,AM Peak,45.0
Ballston,Naylor Road,AM Peak,2.0454545454545454
Ballston,New Carrollton,AM Peak,16.59090909090909
Ballston,New York Ave,AM Peak,47.31818181818182
Ballston,Pentagon,AM Peak,59.09090909090909
Ballston,Pentagon City,AM Peak,22.772727272727273
Ballston,Potomac Avenue,AM Peak,2.9545454545454546
Ballston,Prince George's Plaza,AM Peak,1.9545454545454546
Ballston,Reagan Washington National Airport,AM Peak,26.136363636363637
Ballston,Rhode Island Avenue,AM Peak,4.909090909090909
Ballston,Rockville,AM Peak,7.136363636363637
Ballston,Rosslyn,AM Peak,200.22727272727272
Ballston,Shady Grove,AM Peak,6.545454545454546
Ballston,Shaw-Howard University,AM Peak,2.3636363636363638
Ballston,Silver Spring,AM Peak,29.863636363636363
Ballston,Smithsonian,AM Peak,147.36363636363637
Ballston,Southern Avenue,AM Peak,2.1818181818181817
Ballston,Stadium-Armory,AM Peak,1.9090909090909092
Ballston,Suitland,AM Peak,7.5
Ballston,Takoma,AM Peak,3.590909090909091
Ballston,Tenleytown-AU,AM Peak,15.090909090909092
Ballston,Twinbrook,AM Peak,2.772727272727273
Ballston,U Street-Cardozo,AM Peak,5.454545454545454
Ballston,Union Station,AM Peak,195.5909090909091
Ballston,Van Dorn Street,AM Peak,4.590909090909091
Ballston,Van Ness-UDC,AM Peak,10.954545454545455
Ballston,Vienna,AM Peak,82.5909090909091
Ballston,Virginia Square-GMU,AM Peak,9.045454545454545
Ballston,Waterfront,AM Peak,7.045454545454546
Ballston,West Falls Church,AM Peak,127.45454545454545
Ballston,West Hyattsville,AM Peak,0.8181818181818182
Ballston,Wheaton,AM Peak,0.8636363636363636
Ballston,White Flint,AM Peak,5.090909090909091
Ballston,Woodley Park-Zoo,AM Peak,11.363636363636363
Benning Road,Addison Road,AM Peak,26.863636363636363
Benning Road,Anacostia,AM Peak,28.454545454545453
Benning Road,Archives-Navy Memorial,AM Peak,32.40909090909091
Benning Road,Ballston,AM Peak,12.454545454545455
Benning Road,Benning Road,AM Peak,10.636363636363637
Benning Road,Bethesda,AM Peak,11.954545454545455
Benning Road,Braddock Road,AM Peak,3.8636363636363638
Benning Road,Branch Avenue,AM Peak,4.045454545454546
Benning Road,Brookland,AM Peak,33.13636363636363
Benning Road,Capitol Heights,AM Peak,6.7272727272727275
Benning Road,Capitol South,AM Peak,24.5
Benning Road,Cheverly,AM Peak,2.1818181818181817
Benning Road,Clarendon,AM Peak,1.2727272727272727
Benning Road,Cleveland Park,AM Peak,3.6818181818181817
Benning Road,College Park-U of MD,AM Peak,2.5
Benning Road,Columbia Heights,AM Peak,39.45454545454545
Benning Road,Congress Heights,AM Peak,2.272727272727273
Benning Road,Court House,AM Peak,5.863636363636363
Benning Road,Crystal City,AM Peak,15.181818181818182
Benning Road,Deanwood,AM Peak,0.9545454545454546
Benning Road,Dunn Loring,AM Peak,1.2272727272727273
Benning Road,Dupont Circle,AM Peak,29.681818181818183
Benning Road,East Falls Church,AM Peak,1.0
