ent_station,ext_station,ent_time_period,riders_average_weekday,trip_length
archives,shaw howard university,AM Peak,3.590909090909091,3
archives,silver spring,AM Peak,4.7727272727272725,9
archives,smithsonian,AM Peak,4.909090909090909,2
archives,southern avenue,AM Peak,4.318181818181818,6
archives,stadium armory,AM Peak,0.9090909090909092,6
archives,suitland,AM Peak,4.545454545454546,8
archives,takoma,AM Peak,1.0909090909090908,8
archives,tenleytown au,AM Peak,0.9545454545454546,8
archives,twinbrook,AM Peak,0.0909090909090909,14
archives,u street,AM Peak,6.681818181818182,4
archives,union station,AM Peak,9.409090909090908,3
archives,van dorn street,AM Peak,2.227272727272727,9
archives,van ness udc,AM Peak,0.4545454545454545,7
archives,vienna,AM Peak,1.181818181818182,12
archives,virginia square gmu,AM Peak,0.1818181818181818,7
archives,waterfront,AM Peak,4.818181818181818,2
archives,west falls church,AM Peak,2.0454545454545454,10
archives,west hyattsville,AM Peak,4.863636363636363,8
archives,wheaton,AM Peak,0.1818181818181818,11
archives,north bethesda,AM Peak,0.1363636363636363,13
archives,woodley park,AM Peak,0.4545454545454545,5
arlington cemetery,addison road,AM Peak,0.1818181818181818,10
arlington cemetery,anacostia,AM Peak,0.0454545454545454,5
arlington cemetery,arlington cemetery,AM Peak,4.0,0
arlington cemetery,ballston-mu,AM Peak,0.0909090909090909,5
arlington cemetery,benning road,AM Peak,0.0909090909090909,8
arlington cemetery,braddock road,AM Peak,0.0454545454545454,6
arlington cemetery,capitol south,AM Peak,0.4090909090909091,4
arlington cemetery,college park university of maryland,AM Peak,0.0454545454545454,13
arlington cemetery,court house,AM Peak,0.9090909090909092,2
arlington cemetery,crystal city,AM Peak,1.5909090909090908,3
arlington cemetery,dupont circle,AM Peak,0.0909090909090909,7
arlington cemetery,farragut west,AM Peak,0.8636363636363636,3
arlington cemetery,federal center sw,AM Peak,0.0454545454545454,3
arlington cemetery,federal triangle,AM Peak,0.2272727272727272,4
arlington cemetery,foggy bottom gwu,AM Peak,0.3181818181818182,2
arlington cemetery,franconia springfield,AM Peak,0.1818181818181818,9
arlington cemetery,gallery place,AM Peak,0.0909090909090909,4
arlington cemetery,georgia avenue petworth,AM Peak,0.0454545454545454,9
arlington cemetery,glenmont,AM Peak,0.0454545454545454,15
arlington cemetery,grosvenor strathmore,AM Peak,0.0454545454545454,15
arlington cemetery,huntington,AM Peak,0.2727272727272727,9
arlington cemetery,king street old town,AM Peak,1.2727272727272727,7
arlington cemetery,l'enfant plaza,AM Peak,0.3636363636363636,2
arlington cemetery,mcpherson square,AM Peak,1.0454545454545454,4
arlington cemetery,medical center,AM Peak,0.1363636363636363,14
arlington cemetery,metro center,AM Peak,2.5,5
arlington cemetery,navy yard ballpark,AM Peak,0.0909090909090909,4
arlington cemetery,naylor road,AM Peak,0.0454545454545454,8
arlington cemetery,new carrollton,AM Peak,0.0454545454545454,12
arlington cemetery,pentagon,AM Peak,1.0909090909090908,1
arlington cemetery,pentagon city,AM Peak,0.3636363636363636,2
arlington cemetery,hyattsville crossing,AM Peak,0.0454545454545454,12
arlington cemetery,national airport,AM Peak,0.5454545454545454,4
arlington cemetery,rosslyn,AM Peak,1.2272727272727273,1
arlington cemetery,smithsonian,AM Peak,0.5,3
